crn, instructorFirstName, instructorLastName
36993,A,Winans
36996,A,Winans
39751,A,Winans
37107,A,Winans
39753,B,Dunne
39754,B,Dunne
39755,B,Dunne
39756,B,Dunne
39748,B,Dunne
39749,B,Dunne
39757,B,Dunne
62314,B,Dunne
54886,B,Dunne
39750,B,Dunne
39752,B,Dunne
53598,B,Dunne
10395,,
31281,B,Dunne
30268,D,French
75444,G,Narayan
73938,L,Looney
30269,Y,Shen
10396,,
30271,A,Kemball
39758,B,Fields
43268,T,Wong
65690,,
49361,L,Looney
39759,C,Gammie
51351,P,Ricker
53893,T,Mouschovias
10399,,
73680,P,Ricker
49155,X,Liu
10387,,
37010,J,Frame
37013,J,Frame
37018,J,Frame
37086,J,Frame
49382,J,Frame
37090,J,Frame
37092,J,Frame
37095,J,Frame
37004,J,Frame
31291,J,Choate
52474,J,Choate
55849,R,Sriver
54034,J,Choate
74543,F,Dominguez
73867,S,Nesbitt
49526,B,Jewett
49527,R,Trapp
57789,J,Frame
49528,J,Frame
67804,B,Jewett
64480,A,Jain
75253,J,Choate
75248,J,Choate
39848,R,Rauber
49491,A,Jain
10391,,
61123,J,Frame
73018,D,Hence
50871,S,Lasher-Trapp
40175,Z,Wang
49578,N,Riemer
43237,L,Di Girolamo
73022,A,Klees
75879,A,Klees
30247,,
10393,,
30252,S,Nesbitt
71021,R,Trapp
75540,C,Proistosescu
70058,S,Lasher-Trapp
10394,,
10398,,
29648,R,Ginsburg
37449,S,Han
69973,A,Kogen
72977,Z,Kertcher
72978,Z,Kertcher
72979,Z,Kertcher
72980,M,Shen
72981,,
69974,E,Larson
72982,A,Khandelwal
72983,A,Khandelwal
72984,A,Khandelwal
72985,M,Shen
72986,,
72987,,
71353,E,Larson
71365,T,Zhao
72844,D,Guggenheim
72845,D,Guggenheim
72846,D,Guggenheim
72864,S,Hao
72865,A,Khandelwal
74729,,
74730,A,Khandelwal
74731,A,Wu
74732,Y,Bao
59910,,
71363,B,Han
71364,,
72836,S,Baddam
72838,S,Souyris
72840,A,Cockrell
72841,B,Han
72843,S,Baddam
72848,S,Baddam
62982,T,Warnick
62983,T,Warnick
62984,T,Warnick
62985,M,Wright
61669,J,Hinchliffe
60066,D,Planty
29649,J,White
58599,S,Gill
31430,J,Goncalo
51889,J,Goncalo
31432,J,Goncalo
44050,O,Khessina
31435,O,Khessina
29659,D,Chhillar
66083,S,Ward
68229,S,Ward
31412,M,Wolters
31415,M,Wolters
58600,Y,Liu
29650,S,Gill
31426,M,Kim
31427,M,Kim
31429,M,Kim
31436,T,White
31437,T,White
39273,A,Cockrell
31439,,
31440,,
69918,Y,Liu
58589,S,Sethi
58279,N,Scott
